Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Bike Cadence,Max Bike Cadence,Normalized Power,Training Stress Score(TSS) ,Max Avg Power (20 min),Power,Max Power
cycling,6/3/2018 9:55,1.5,73,11:47,126,180,7.6,14.4,3,--,52,87,--,0,--,--,--
cycling,6/3/2018 9:05,19.14,584,49:34:00,177,187,23.2,30.4,361,354,83,106,--,0,--,--,--
road_biking,6/3/2018 8:25,0.01,159,22:18,130,155,0,--,--,--,77,108,--,0,--,--,--
indoor_cycling,6/2/2018 13:45,0,2,00:13.9,152,158,--,--,--,--,86,94,--,0,--,156,431
cyclocross,5/3/2018 19:02,2.32,204,34:36:00,121,146,4,8.2,59,66,--,--,--,0,--,--,--
cyclocross,4/27/2018 18:04,13.63,425,1:14:19,--,--,11,22.4,115,121,--,--,--,0,--,--,--
road_biking,4/7/2018 8:40,1.21,54,06:07.3,142,162,11.9,15.9,3,--,70,86,--,0,--,--,--
road_biking,4/7/2018 8:08,12.32,377,32:16:00,180,186,22.9,29.8,92,102,84,105,--,0,--,--,--
road_biking,4/7/2018 7:48,0.64,195,18:59,161,178,2,22.3,3,7,82,114,--,0,--,--,--
cycling,3/19/2018 18:01,13.73,587,1:04:12,150,182,12.8,23.6,115,131,--,--,--,0,--,--,--
cycling,2/8/2018 18:11,19.79,754,2:02:15,131,179,9.7,27.1,367,367,--,--,--,0,--,--,--
cycling,1/21/2018 15:20,15.14,460,1:28:17,--,--,10.3,19.1,115,121,--,--,--,0,--,--,--
indoor_cycling,1/2/2018 4:42,26.84,742,1:19:36,155,191,20.2,28.5,--,--,--,--,--,0,--,--,--
cycling,12/29/2017 13:36,11.14,390,50:44:00,145,188,13.2,17.4,56,52,--,--,--,0,--,--,--
cycling,12/26/2017 13:35,10.33,337,52:32:00,132,196,11.8,18.1,62,72,--,--,--,0,--,--,--
road_biking,5/26/2018 11:08,14.94,477,44:43:00,178,186,20,33.4,279,243,90,125,228,82,189,178,780
cycling,2/25/2018 13:29,16.35,509,43:51:00,178,190,22.4,29.4,89,75,92,118,216,78.9,199,194,748
cycling,3/10/2018 13:15,14.75,462,41:49:00,179,190,21.2,28.2,118,98,90,119,212,72.4,207,184,758
cycling,3/4/2018 14:36,18.59,581,50:22:00,--,--,22.1,29.9,190,174,93,115,212,86.9,214,193,746
road_biking,5/5/2018 12:59,14.71,442,42:42:00,179,191,20.7,30.2,436,449,90,123,210,66.3,184,173,820
cycling,3/10/2018 10:00,9.64,337,28:32:00,179,187,20.3,27.5,98,82,88,117,210,48.1,196,197,735
road_biking,5/6/2018 12:44,21.05,596,56:56:00,174,187,22.2,30.9,427,407,93,123,208,87.3,199,175,713
road_biking,5/23/2018 18:05,20.42,586,55:52:00,176,192,21.9,31.2,167,174,87,111,204,82.1,189,175,738
road_biking,4/18/2018 18:01,19.85,594,56:15:00,170,188,21.2,31,171,154,92,120,204,82.6,201,178,785
cycling,3/13/2018 19:59,25.92,917,1:32:36,169,188,16.8,25.9,--,--,83,106,201,144.4,220,165,620
road_biking,3/28/2018 18:01,20.59,579,54:29:00,178,192,22.7,30.7,144,157,94,121,198,82,193,177,771
road_biking,4/11/2018 18:04,19.18,550,52:50:00,177,194,21.8,29.3,131,141,88,116,197,73,191,174,727
indoor_cycling,3/7/2018 19:02,9.8,281,35:50:00,135,170,16.4,25.4,--,--,84,123,196,53,158,134,499
cycling,2/24/2018 10:36,42.25,965,1:58:54,168,193,21.3,35.5,"1,155","1,096",87,120,193,170.9,163,135,824
indoor_cycling,2/20/2018 4:59,15.96,552,55:48:00,--,--,17.2,25,--,--,--,--,193,79.8,208,165,461
indoor_cycling,1/17/2018 18:57,21.88,677,1:03:20,176,194,20.7,26.2,--,--,--,--,193,92.7,202,178,398
road_biking,5/9/2018 17:33,42.22,"1,078",2:09:25,158,196,19.6,33.8,328,305,89,126,192,168.9,187,142,795
road_biking,6/2/2018 14:29,20.9,575,1:02:43,178,193,20,28.9,95,89,87,120,190,80.2,170,153,857
road_biking,4/28/2018 8:42,31.2,796,1:29:47,167,189,20.9,33.1,279,289,90,114,190,114.9,188,148,703
road_biking,5/2/2018 18:01,20.6,546,56:43:00,176,191,21.8,32.8,148,141,89,125,189,71.8,181,161,752
road_biking,4/15/2018 12:46,39.51,"1,068",1:57:02,177,190,20.3,46.9,"2,444","2,379",91,131,189,147.9,181,152,811
indoor_cycling,1/20/2018 7:53,15.19,484,58:16:00,153,193,15.6,24.9,--,--,--,--,189,81.8,204,138,512
cycling,3/3/2018 11:10,43.23,"1,406",2:19:52,172,191,18.5,40.1,"2,946","2,772",92,129,188,191.7,198,168,729
indoor_cycling,4/17/2018 5:06,23.15,814,1:22:20,168,190,16.9,24.4,--,--,--,--,187,102.5,200,165,466
indoor_cycling,4/24/2018 4:49,23.36,810,1:28:22,163,189,15.9,25.1,7,3,84,109,186,108.8,187,153,580
indoor_cycling,4/10/2018 4:41,20.86,664,1:16:28,165,194,16.4,26.8,--,--,84,119,186,93.7,205,145,591
indoor_cycling,3/6/2018 4:47,27.1,914,1:39:17,157,185,16.4,24.2,--,--,--,--,186,133.4,217,154,541
indoor_cycling,4/3/2018 4:59,21.59,681,1:15:03,165,192,17.3,24.5,--,--,85,115,185,90.9,192,152,500
indoor_cycling,2/22/2018 19:38,21.33,687,1:23:38,--,--,15.3,24.2,3,7,--,--,185,111.3,210,137,578
indoor_cycling,1/25/2018 19:19,24.09,751,1:22:42,159,194,17.5,26.3,--,7,85,113,185,111.8,205,151,534
indoor_cycling,5/1/2018 4:46,24.82,789,1:28:47,162,190,16.8,26,--,--,--,--,184,106.8,190,148,576
cycling,3/4/2018 14:29,0.92,28,03:01.3,--,--,18.2,25.4,13,16,86,111,184,3.4,--,158,632
indoor_cycling,2/1/2018 19:11,26.1,820,1:40:14,153,190,15.6,24.6,3,--,--,--,184,132.8,215,137,592
road_biking,4/14/2018 7:56,8.55,261,30:37:00,153,184,16.8,30.8,72,69,87,120,183,36.2,146,142,574
indoor_cycling,6/5/2018 4:59,21.45,569,1:08:18,154,190,18.8,30.4,--,--,80,108,182,80.5,183,139,720
road_biking,4/21/2018 11:19,52.35,"1,495",2:37:58,158,186,19.9,32,361,325,92,125,181,184,176,158,785
road_biking,5/28/2018 7:30,58.04,"1,441",2:42:46,154,187,21.4,31.6,322,331,85,107,180,187.3,182,148,787
road_biking,3/31/2018 11:34,42.4,"1,153",2:25:01,156,189,17.5,29,909,863,89,130,180,182.7,142,132,779
road_biking,5/19/2018 7:23,52.35,"1,343",2:45:01,166,196,19,33.4,860,869,88,121,179,186.6,182,136,741
indoor_cycling,3/17/2018 10:51,25.66,766,1:42:16,158,191,15.1,24.9,10,--,--,--,179,126,228,125,587
road_biking,4/22/2018 7:04,36.97,"1,065",2:00:08,148,180,18.5,30.4,502,518,90,122,178,134.1,176,148,720
indoor_cycling,5/22/2018 4:55,29.52,733,1:35:01,155,191,18.6,31.1,--,--,83,117,177,105.7,188,129,640
indoor_cycling,5/8/2018 4:47,21.02,682,1:21:56,158,183,15.4,25,--,--,86,135,177,91,184,139,537
indoor_cycling,1/9/2018 4:45,32.69,907,1:43:02,163,186,19,26.7,--,--,--,--,177,136.3,205,147,401
indoor_cycling,1/30/2018 4:40,28.14,924,1:45:06,164,185,16.1,24.7,--,--,--,--,175,126.4,201,147,587
road_biking,5/30/2018 6:26,17.64,466,1:00:05,146,184,17.6,25.1,--,--,79,100,174,64.8,212,130,406
road_biking,4/8/2018 8:30,36.99,"1,136",2:04:47,155,185,17.8,28.2,364,410,89,127,174,135,165,152,758
indoor_cycling,1/23/2018 4:41,30.23,936,1:45:02,163,188,17.3,25.2,7,--,88,120,174,125,185,149,495
indoor_cycling,1/18/2018 19:00,17.84,537,1:02:44,148,193,17.1,27.4,--,--,--,--,174,75.2,158,143,691
indoor_cycling,1/13/2018 14:22,18.05,481,1:00:26,153,186,17.9,30.1,--,3,--,--,174,77.1,150,133,660
indoor_cycling,5/15/2018 19:21,24.36,780,1:37:42,150,184,15,25.1,--,--,82,119,173,102.9,202,133,650
indoor_cycling,3/9/2018 17:45,9.09,238,33:02:00,135,178,16.5,26.3,--,--,83,126,173,38,143,122,573
cycling,3/10/2018 9:51,0.79,35,04:53.2,166,181,9.6,23.3,10,--,84,104,171,5.1,--,121,699
cycling,2/16/2018 7:02,28.8,667,1:24:34,157,193,20.4,32.5,89,102,87,118,171,94.7,181,131,725
road_biking,5/13/2018 6:08,57.33,"1,504",2:56:38,145,183,19.5,33.2,262,289,87,127,170,181.1,173,142,702
cycling,3/20/2018 18:59,15.95,549,1:02:35,146,183,15.3,26,23,10,--,--,170,69.5,172,146,542
indoor_cycling,1/16/2018 4:42,27.02,855,1:49:38,161,191,14.8,24.1,--,--,84,117,170,133.7,203,130,456
indoor_cycling,4/24/2018 6:44,5.77,184,20:38,150,180,16.8,26.2,--,--,84,110,169,20.4,151,149,532
road_biking,5/25/2018 15:42,20.01,552,1:20:17,151,187,15,29,190,144,80,110,168,80,138,116,731
cycling,2/11/2018 9:46,81.35,"1,928",4:20:01,153,190,18.8,45.3,"2,264","2,192",86,118,168,283,172,124,702
indoor_cycling,2/6/2018 6:04,15.78,537,1:01:03,155,183,15.5,21.8,--,--,83,113,167,67.3,176,147,414
indoor_cycling,1/19/2018 18:59,24.28,773,1:26:34,157,188,16.8,24,--,--,86,110,167,95,181,149,379
road_biking,5/27/2018 7:04,68.27,"1,791",3:45:46,153,185,18.1,31.1,440,466,81,110,166,220.4,176,132,691
indoor_cycling,1/4/2018 19:30,15.45,390,50:16:00,158,187,18.4,28.6,16,26,--,--,166,58.7,180,130,536
cycling,12/24/2017 15:21,37.2,"1,143",2:05:57,156,186,17.7,27.8,240,223,89,116,166,146.8,173,151,486
cycling,2/14/2018 7:03,28.94,754,1:34:14,148,187,18.4,29.3,108,141,84,108,165,99.2,161,133,666
road_biking,5/12/2018 6:07,73.02,"1,956",3:46:31,156,190,19.3,32.9,289,318,88,116,164,217.1,181,144,617
indoor_cycling,3/27/2018 18:52,14.34,390,48:06:00,--,--,17.9,34.2,--,--,84,118,164,49.9,161,140,595
cycling,2/17/2018 8:03,51.09,"1,224",2:37:40,151,189,19.4,27.9,522,522,87,125,164,163.3,181,129,647
road_biking,4/29/2018 7:44,42.65,"1,028",2:20:16,140,181,18.2,31.6,289,361,83,113,162,130.8,152,122,636
cycling,2/27/2018 19:00,15.35,458,51:37:00,150,176,17.8,22,--,--,--,--,162,52.1,181,148,323
cycling,2/12/2018 9:56,98.94,"2,322",5:13:21,150,187,18.9,34.4,"2,562","2,507",84,113,162,316.6,182,124,662
indoor_cycling,4/2/2018 18:11,18.57,729,1:19:34,152,175,14,19.1,--,7,85,114,161,73,178,153,417
road_biking,4/1/2018 8:12,69.61,"1,806",3:55:08,150,190,17.8,34.3,427,413,88,120,161,216.5,151,128,722
indoor_cycling,3/2/2018 15:58,10.66,288,38:43:00,133,178,16.5,25.6,36,52,90,114,161,38.7,143,125,576
cycling,1/27/2018 8:45,29.15,688,1:47:47,145,187,16.2,30.8,285,285,85,114,161,109.1,151,107,657
indoor_cycling,5/10/2018 18:39,14.9,441,55:58:00,140,177,16,25.1,--,30,87,113,160,50.9,177,133,562
indoor_cycling,4/9/2018 19:25,8.35,232,30:03:00,134,179,16.7,23.7,--,3,87,130,160,27.2,145,129,393
indoor_cycling,3/16/2018 17:49,5.56,155,20:41,138,168,16.1,24.7,--,--,89,126,160,20.2,111,125,635
indoor_cycling,2/3/2018 8:00,24.39,"1,112",2:00:09,153,173,12.2,18,--,--,87,110,160,122.2,177,154,340
cycling,2/13/2018 10:01,81.01,"1,848",4:23:55,143,188,18.4,39.3,"2,028","1,955",82,121,158,255.3,189,117,630
indoor_cycling,1/24/2018 18:30,10.09,337,48:03:00,136,173,12.6,20.6,--,--,--,--,158,47.1,135,117,440
